Symbol;Amount;Value;Rating;Footprint;Group;Usage;Example Component
U1;1;;5.5V;SOT-23-6;PS;Boost IC;MCP1640T-I/CHY
L1;1;4.7uH;;1008;PS;Boost Inductor;DFE252012PD-4R7M=P2
C1,C2;2;10uF;;805;PS;;CL21A106KAYNNNE
R1;1;976kOhm;0.125W;805;PS;Voltage divider;WR08X9763FTL
R2;1;562kOhm;0.125W;805;PS;Voltage divider;WR08X5623FTL
J2;1;;250V 3A;10-SMD;MCU;Debug;X6521WVS-2x05H-C60D74
U5;1;;;VQFN (RHA);MCU;ZB IC;CC2530F256RHAR
X1;1;32MHz;;4-SMD;MCU;Crystal;X3S032000BG1H-Z
B1;1;;;6-SMD;MCU;Balun;2450BM15A0002E
C16,C17;2;27pF;;805;MCU;Crystal cap;CC0805JRNPO9BN270
C18;1;220pF;;805;MCU;Bypass cap;CC0805JRNPO9BN221
C19-C23;7;0.1uF;;805;MCU;Bypass cap;TCC0805X7R104M500DT
C24,C25;2;1uF;;805;MCU;MCU Supply cap;TCC0805X7R105K500DTS
C26;1;2.2uF;;805;MCU;Antenna (optional);CL21B225KPFNNNE
R6;1;56kOhm;0.25W;805;MCU;;TC0550B5602T5E
Q1,Q2;2;;;SOT23-3;SW;BJT;BC847CLT3G
R3,R4;2;470Ohm;0.5W;805;SW;BJT Resistor;ERJ-P06J471V
R5;1;2kOhm;0.125W;805;LED;Current limiting;0805W8J0102T5E
